ADI
ADP
ALXN
BMRN
CA
CHKP
FAST
FOX
KHC
KHC
LBTYA
LBTYK
MYL
QVCA
SBAC
STX
CRTO
CSFL
CATY
EADSY
RYAAY
AA
XBI
FFTY

URA
GDXJ
SILJ
SIL
SLVP
COPX
RING
SGDM
GDX
PICK
SOCL
XBI
XME
HACK
PSI
QTEC
IGV
LIT
SLX
CIBR

EWZS
BRF
SCIF
ARGT
KWEB
EWZ
EWD
FM
EPOL
ILF
FEM
INDY
MCHI
PIN
IFV
EPI
EWS
GXC
EWX
EEMA
EPU

PNK
IGT
PENN
ERI
WYNN
LVS
MGM


QQEW
QQQ
MGK
VUG
VOT
SCHG
IWU
MTUM
IWY
PDP
IWP
FTC
IUSG
MOAT
SPYG
VOOG
IVW
RPG
VO
PWB

BSFT
CBM
CRL
EDU
FOX
GDX
ILG
IMG
INCR
KHC
LGND
MDVN
MSCI
OLED
SPI
TEN
UDR
VNT
FRSH
