NVDA
THO
ESNT
GATX
UBNT
IDCC
EVR
WAL
CPE
CFG
SIVB
ANET
BOFI
AEIS
PLAY
EXP
AMAT
STL
COMM
HQY
LOGM
PRI
HOMB
SCHW
MS
CGNX
MSCC
OZRK
MBFI
RDN
GRUB
ALGN
VEEV
MPWR
EWBC
GS
CARB
ARRS
MXL
MASI
LOPE
AMN
AVGO
MTSI
WWD
MCHP
FFIV
IBKC
URI
NTES
