T
ADC
ALGN
AHH
BGS
STZ
STZB
COR
DHR
DW
DY
FIVE
FCPT
GTY
GV
NSP
IBP
LTC
NTES
PATK
SIMO
SJM
STOR
SUI
ULTA
VASC
VMC
WEC
WSR
AGI
ALRM
AAU
AMT
ANIK
CZZ
EPR
ELS
LAND
GDEN
HIW
LOAN
MNR
DOC
XRS
THO
AWK
BCR
BECN
BSX
CTRE
CTAS
CONE
ERI
HII
NHI
BFS
SHEN
SKT
TAYD
UFPI
UBA
VEC
WDFC
WRI
WTR
BGSF
BTG
CTWS
DCT
DWA
EGP
EQY
FR
HBP
INGR
ISRG
RPT
RAI
SENEA
AOS
SYK
TFX
KHC
UBP
WPC
SBS
FRT
AG
HR
HTA
KIM
LANC
MKTX
EGOV
NNN
PAYX
POOL
REG
SVT
UEIC


"Screen results as of 3:08 PM Eastern, Sunday, July 03, 2016"

"Data provided by William O'Neil + Co., Inc. © 2016. All Rights Reserved."
"Investor's Business Daily is a registered trademark of Investor's Business Daily, Inc."
Reproduction or redistribution other than for personal non-commercial use is prohibited.
All prices are delayed at least 20 minutes.
