SYNL
TX
MTL
CMC
ZEUS
MT
SID
AP
SXCP
PKX
TMST
STLD
RS
CRS
VALE
X
MSB
NUE
RYI
AKS
HAYN
SCHN
ATI
WOR
CLF
SXC
RIO
VALE
VEDL
