SPDR� S&P� Transportation ETF
VA
R
NSC
FDX
KSU
MIC
LSTR
KEX
UNP
UHAL
KNX
JBHT
UPS
XPO
GWR
EXPD
CSX
CHRW
LUV
SWFT
HTLD
JBLU
CAR
ODFL
HA
WERN
DAL
ALGT
AAWW
SAVE
SKYW
ALK
UAL
AAL
HTZ
HUBG
MATX
FWRD
ECHO
SAIA
WAIR
ARCB
MRTN
RRTS
ATSG
