XRT
AMZN
OUTR
MIK
CASY
ULTA
PSMT
LTRPA
CVS
TRIP
GPI
SFLY
TSCO
FINL
MUSA
CAB
RAD
MNRO
WMT
DLTR
PLCE
WBA
KMX
TJX
FIVE
EXPE
DG
BIG
GCO
BURL
AZO
COST
ORLY
PCLN
CST
GME
ROST
HIBB
SIG
AAP
SBH
SFM
TIF
WFM
BBY
TGT
NFLX
RCII
AN
CHS
FL
DKS
ABG
HSNI
KR
VSI
PAG
GNC
SPLS
DSW
LAD
BKS
W
AEO
GRPN
TLRD
SVU
URBN
JWN
EXPR
FRAN
KSS
NTRI
LB
SHLD
BKE
ANF
DDS
GES
ASNA
M
JCP
ODP
SAH
GPS
CONN
IMKTA
CAL
ZUMZ
CATO
FTD
LE
HZO
NILE
BNED
SFS
FRED
WMK
