AU
KGC
SILJ
PAAS
AA
HL
IIIN

ATVI
IDCC
MBLY
UTHR
PLAY
PZZA
TXRH

CARB
PLAY
CC
HOMB
EXP
AMAT
COMM
VMC
LOGM
MLM
RDN
VEEV
MPWR
MXL
LOPE
AMN
MTSI
IBKC
GRUB

IPHI
NVDA
CRUS
AMBA
MU
SPLK
HQY
ESNT
UBNT
CPE

WB
MOMO
TSLA
BOX
GRPN
GPRO
TWLO
CMCSA
LITE
SN
SYNL
MTL
CMC
CENX
SID
X
ZTS
MSB
NUE
SCHN
ATI
WOR

KSS

CFG
WTFC
WAL
BOFI
STL
OZRK
JCOM
PACW
BAC
ICE
GS
MTSI
AGX
MTZ
MYRG
WCG
LUKOY
GMLP
CPA
SID
HA
EVR
PLAY
CPE
SCHW
MSCC
CMA
GNTX
UAL
MBFI
ASB
SLF
AMTD
MGM
GATX
ANET
AMN
FFIV
UVE
FULT
BAK
IPHS
SAIC
EBIX
CPLA
ITRI
CRUS
PI
AIRG
WRLD
LTXB
BATS
MGPI
KNSL
GIMO
TBPH
XNCR
SCHN
RSPP
SM
PLCE
TLRD
SPTN
STRP
STLD
SKYW
SWFT
SJW
OKE
CLR
CENT
CENTA
ACIA
WIT
AMBA
MTCH
ABMD
FNB
GMS
AAL
DAL
HMST
SIMO
HES
NTRI
FRAN
RUTH
BK
CAT
