STMP
COR
USCR
AHS
ELLI
EDU
ORLY
EW
CALM
SWHC
STOR
OLED
MXL
TTC
GOOGL
KORS
XRS
NTES
SIX
POOL
VNTV
SSS
MTSI
NVDA
RGR
PSA
FIVE
AYI
NOAH
PYPL
PBH
INCR
SKT
CTXS
GT
AVGO
DG
CPB
THO
SFM
SHW
EEFT
BUFF
LGND
PCLN
BSFT
MPWR
ROST
CDNS
VRSK
