PFE 
CVX
V
MDLZ
ADBE
KR
ANTM
COF
LYB
CAH
SYF
NSC
JCI
HPQ
EA
APA
DVA
WFM
HES
STX
L
SRCL
CF
XEC
CPGX
QRVO
PBCT
OKE
XLE
XHB
XLV
GNTX
ARIA
SPNC
LMCA
USG
STMP
IMMR
PANW
VMW
BIDU
RAX
JAH
SGMS
UIL
WFM
TPH
KND
SEM
BYD
JNS
MDVN
VLY
TK
PODD
FET
KBR
SPR
SLCA
NBR
QEP
SN
HLF
FOE
SCCO
ORI
PRKR
KW
AMTG
CBL
CUZ
IVR
RWT
STAG
TWO
AF
MXIM
LYV
INFN
S
MTZ
FRC
