AAL
AAPL
ADBE
ADI
ADP
ADSK
AKAM
ALXN
AMAT
AMGN
AMZN
ATVI
AVGO
BBBY
BIDU
BIIB
BMRN
CA
CELG
CERN
CHKP
CHTR
CMCS
COST
CSCO
CSX
CTRP
CTSH
CTXS
DISC
DISC
DISH
DLTR
EA
EBAY
ESRX
EXPE
FAST
FB
FISV
FOX
FOXA
GILD
GOOG
GOOG
HSIC
ILMN
INCY
INTC
INTU
ISRG
JD
KHC
LBTYA
LBTYK
LLTC
LRCX
LVNT
MAR
MAT
MCHP
MDLZ
MNST
MSFT
---
UNCH
MU
MXIM
MYL
NCLH
NFLX
NTAP
NTES
NVDA
NXPI
ORLY
PAYX
PCAR
PCLN
PYPL
QCOM
QVCA
REGN
ROST
SBAC
SBUX
SIRI
SRCL
STX
SWKS
SYMC
TMUS
TRIP
TSCO
TSLA
TXN
ULTA
VIAB
VOD
VRSK
VRTX
WBA
WDC
WFM
XLNX
YHOO
XRAY
