TAL
LITE
NTRI
STMP
ANET
NVDA
COHR
LRCX
VEEV
CTRL
FOXF
SINA
CGNX
YY
AMAT
BABA
ATHM
NVMI
PAYC
MELI
ZBRA
MTSI
NTES
ESNT
FB
TRU
IDXX
REGN
PYPL
EDU
CNC
CELG
PLAY
GRUB
MCHP
SWKS
PRAH
ATVI
TTMI
MOMO
LOGM
HAS
MASI
ICHR
ALGN
CIEN
LAZ
WGO
CBOE
EW
