XOM
JNJ
JPM
WFC
GE
T
BABA
BAC
PG
CHL
WMT
BUD
CVX
VZ
V
PFE
NVS
MRK
KO
HD
ORCL
DIS
IBM
TM
PM
TSM
C
HSBC
PEP
UNH
MO
PTR
UL
UN
TOT
MA
SAP
SLB
MMM
MDT
SNY
RY
BA
BP
MCD
GSK
BHP
ABBV
GS
TD
NKE
HON
SNP
BMY
USB
RIO
UPS
AGN
LLY
NVO
UTX
MTU
ABEV
DCM
LFC
RAI
UNP
WBK
BBL
NTT
MS
BSBR
CVS
ITUB
ACN
ABT
LMT
DOW
SAN
TWX
AZN
BNS
DEO
AXP
DD
PBR
LOW
CL
CB
BLK
TMO
LYG
AIG
PNC
NEE
HDB
DHR
BBD
EPD
BBDO
COP
SPG
TLK
MET
GD
CRM
UBS
HMC
DUK
CAT
STO
EOG
GM
SCHW
E
VALE
SMFG
CNI
ING
SU
PUK
FDX
TJX
TEF
SO
OXY
F
BMO
MON
BK
D
SYK
AMT
ABB
NGG
BCS
KMB
MFG
KMI
PRU
EXCU
HAL
ITW
AET
RTN
COF
ANTM
NOC
BBVA
CCL
AMX
BT
LVS
CUK
ORAN
AMOV
PSX
TRP
PSA
SYT
JCI
CHA
RELX
SNE
BDX
EMR
ENB
BBT
BCE
HPE
WPZ
CI
MMC
TGT
LYB
VMW
DAL
ECL
RENX
APC
LUV
CM
MFC
TEVA
BAM
S
GIS
BX
NSC
INFY
RBS
ICE
DE
EXC
TRV
SPGI
BSX
PX
PCG
CCI
AEP
ETN
HCA
WM
CAJ
CNQ
MCK
DCUC
PXD
KR
STZ
CS
TRI
HUM
EL
APD
AON
STT
VLO
NOK
HPQ
SYF
ALL
FMX
CHU
SHW
AFL
STI
SYY
SCCO
FIS
CRH
ETP
DFS
CBS
PHG
SRE
BAX
PLD
PPG
ZTS
K
MT
MPC
TEL
DB
MTB
CAH
ADM
GLW
CHT
EIX
BHI
HCN
FMS
CMI
LUX
AVB
PPL
WY
VIV
IBN
KEP
BEN
WIT
UAL
NWL
ZBH
ED
YUM
TTM
HSY
WMB
PEG
EQR
VTR
NMR
ABX
PGR
SLF
DVN
TSN
GGP
XEL
VFC
CP
IP
MCO
APH
DG
ROP
BXP
PKX
PAA
IR
AZO
VNO
RSG
LVLT
DLPH
PH
RCL
IX
KYO
APA
KEY
OMC
EW
ABC
AMP
FTV
ETE
CXO
TU
SHG
SWK
TS
ROK
NUE
NEM
FCX
HLT
WEC
CFG
RF
ES
EC
SSL
HIG
HRL
FCAU
Q
CPB
DTE
PFG
WDAY
CAG
MMP
BCR
CLX
DPS
RCI
DLR
TI
CCE
MHK
CLR
A
HES
SJM
MGA
TAP
O
NLSN
MJN
RACE
LNC
L
NBL
BAP
VMC
KB
EFX
FLT
TV
WCN
HCP
NOW
ESS
BSMX
MGM
RHT
NOV
POT
FDC
OKS
LH
GWW
FRC
LB
SKM
GPC
FE
BBY
GOL
GG
ADS
SNN
PANW
COTY
DVMT
HRS
SEP
AGU
MKL
AWK
ETR
KOF
AGR
CTL
DVA
MPLX
WHR
DGX
WRK
MLM
MRO
HST
TDG
STM
AEE
MSI
IVZ
ANTX
FTS
FNF
QSR
LLL
VNTV
PBA
ARNC
CHD
BLL
TXT
WAT
GIB
AME
CMA
CE
CMS
CNHI
DOV
MKC
COL
MTD
KMX
UHS
CNC
CMG
PRGO
GPN
XEC
CX
ALK
CBG
ATH
BCH
EMN
FNV
TECK
DHI
UGP
CNP
CNA
AAP
MAA
TWTR
TIF
VEDL
BG
RJF
NLY
SLG
OKE
ENIA
AEG
LEN
UNM
MOS
TRGP
MBT
MAS
XL
ECA
JNPR
CVE
ARE
COH
ALLY
PNR
URI
ALB
COG
BRFS
HNP
EQT
KIM
ZTO
BSAC
YUMC
MBLY
TSO
FRT
AEM
RMD
AJG
TSS
M
WGP
Y
EXR
HII
HOG
SNA
FL
IFF
SJR
GPS
SCG
ASX
LEA
WWAV
COO
BIP
CSC
IRM
WU
UDR
MAC
IPG
BPL
AYI
RE
UAA
KSU
DRI
SLW
IHG
LUK
ALV
AMG
DRE
SEE
EBR
TMK
PNW
CIB
LNT
WES
DPZ
FBHS
VAL
APO
LPL
BWA
ARMK
INGR
PKG
WYN
AOS
VER
MSCI
UA
AVAL
WRB
CIT
XYL
IT
ANET
TFX
CNCO
EVHC
SXL
CPL
UGI
BR
RGA
SQM
YPF
AER
BAK
ATO
WLK
AFG
CEA
WF
LDOS
HBI
KKR
PE
SPB           
ROL
VAR
JWN
VOYA
EEP
MHG
AES
HAR
KT
FMC
NI
EDU
VIPS
FLR
XRX
WR
FTI
TSU
ZAYO
KSS
ASH
WAB
KRC
AR
LN
NYCB
AM
ACH
CCK
REG
SPR
CPT
EQGP
HP
TKC
NFX
MTN
USFD
CF
PVH
AIV
SBS
FDS
OGE
BRX
RPM
RDY
NVR
LII
AVY
AXTA
ALLE
ST
IEX
GGB
OAK
PHM
TAL
ELS
ENBL
TRQ
RRC
WPC
ACC
PF
JEC
INVH
H
NNN
CSL
ESRT
MD
HUBB
PSO
SHI
LEG
TRU
MAN
JHX
ARW
ZNH
RL
TTC
OC
KEYS
BERY
ENLK
OHI
X
SQ
EQM
AA
RAD
ENH
CC
ADNT
FLS
WCG
MIC
GXP
CPG
DEI
BURL
GDDY
WST
NCR
WBC
KAR
SUI
RHI
RS
ALSN
BRO
VEEV
KORS
PKI
BPY
PSXP
RNR
AVT
PHI
STE
AXS
STWD
CFR
BKFS
LYV
GIL
SCI
THO
LPT
TER
MSM
LW
TYL
SHLX
AMH
TLLP
DCI
BIO
RSPP
SMI
DCP
EOCC
XPO
MNK
ACM
DKS
VRX
ICL
NRG
WTR
AIZ
LFL
ORI
TOL
WFT
PWR
BC
SMG
PII
AGO
WAL
HEI
SIX
EV
BAH
OA
SERV
DDR
IGT
RIG
WSO
SON
HIW
TGNA
HPP
SRC
POST
MDU
HLF
HUN
NEU
SC
LAZ
PB
SID
GGG
SNV
JLL
SIG
HFC
CHK
NRZ
NFG
OLN
WBS
CLB
TX
EGN
BEP
DLB
UMC
HXL
AGCO
CSRA
EXP
G
OSK
ENIC
CUBE
ARES
CNK
CBD
EPR
GRA
MUR
WEX
THS
USG
TARO
JBL
PAC
SHOP
SNX
KGC
CFX
AU
AN
FBR
ASR
ATR
VET
VVC
HHC
EQY
VVV
WRI
FHN
BMA
WUBA
AWH
GWR
TDY
BMS
HTA
BWP
VR
APLE
WPX
UNVR
TEGP
GSH
CPA
DCT
PAG
APU
CRI
FAF
HRC
CW
CCU
CCJ
CR
MSG
EPC
WTM
MPW
CIG
WGL
TCP
WSM
TEO
RES
TCO
ERJ
CPN
GPK
BWXT
FNFV
SKX
IDA
CRL
TRN
DATA
BKU
HRB
NS
SLCA
NBR
CXW
GWRE
WNR
LSI
FICO
BFAM
RLGY
AMC
ITCB
CAE
TDC
CLC
R
SWX
CAA
FLO
DFT
RDN
STOR
POR
PGRE
GEL
ASB
GPT
EQC
AL
WLL
MMS
SAIC
DNB
TEP
THG
FUN
DST
AUO
EPAM
ATHM
RICE
KEX
HLS
OMF
HR
ITT
EME
WCC
RPAI
SF
HRG
GEO
DLX
PRI
SWN
CST
MTG
CABO
CIEN
PAH
RBA
CNO
BOH
CNX
LM
HE
CIM
TEN
CBT
SXT
VMI
OUT
CTLT
NEA
RYN
COTV
CMD
ALR
OGS
USM
AQN
CNDT
NTL
BKH
ENLC
NJR
CHH
CBI
GEF
RHP
RGC
LPX
W
PAM
RBC
JAG
QEP
AHL
BSM
ALE
OFC
STL
VSM
ENR
CUZ
TKR
VLP
PDM
CLGX
MTZ
FNB
SKT
SFR
LHO
ENS
OAS
LPI
NYLD
PAYC
TDS
VLY
CLH
OI
SHO
MCY
TWO
JELD
STAY
ESNT
TEX
BVN
SUM
SBH
CAB
CTX
PSB
PRA
ELLI
FR
BDC
WOR
P
TSE
BFR
GRUB
CACI
EVR
VC
EDR
ESV
FIG
COR
TUP
STN
PBH
DNP
KMT
TRCO
SR
GHC
MFA
NHI
TCB
KATE
HGV
NVG
VGR
FDP
BXS
ELP
BXMT
BDN
WAGE
CHE
BGS
SWFT
NVRO
RLJ
CXP
PCI
DM
ORA
PNM
UE
TWLO
CWH
MDP
NAD
POL
JOY
OII
SM
NWE
MANU
MOH
AEO
HTH
SJI
FII
CBU
FI
INXN
GMED
DAN
AKR
DOC
AXE
MTX
NUS
B
SUN
LCII
BKD
UNF
VAC
GME
AVX
GFI
CPE
LXP
ZEN
MSA
AUY
ESL
CLI
EXG
YELP
FSIC
PBI
TAHO
XON
BCO
RLI
KNX
CMP
DY
KW
INT
MFS
AVA
AKS
UFS
ASGN
GWB
OSB
QTS
FUL
CEB
TPX
CLF
SPN
WWW
PFGC
WRE
LAD
PEN
EVER
NGL
JBT
EGP
MUSA
GNRC
AIT
RMP
IBA
DRQ
NORD
MTDR
KYN
MLI
AGI
SEMG
NYT
TMHC
VSH
TPL
CMC
HI
AEL
CWEI
PBF
DBD
HL
BIG
PAY
BOX
DO
KOS
GATX
PSTG
EGO
JNS
CZZ
TNET
DOOR
AB
ABM
RXN
HEP
RDC
NGVT
ALX
ALEX
DRH
BYD
KMPR
KBR
OMI
FMSA
AWI
APAM
KS
HUBS
WTS
