XLI
GE
MMM
HON
BA
UTX
UNP
UPS
LMT
DHR
GD
CAT
FDX
RTN
NOC
ITW
EMR
ETN
CMI
DAL
NSC
CSX
LUV
DE
WM
PCAR
AAL
EFX
ROK
PH
NLSN
ROP
GWW
SWK
IR
TYC
UAL
COL
FAST
TXT
DOV
VRSK
MAS
RSG
AME
AYI
PNR
LLL
FLR
CHRW
KSU
CTAS
SNA
EXPD
SRCL
XYL
JBHT
RHI
R
ALLE
JEC
FLS
URI
DNB
PBI
PWR
