PANW
ACIW
ADBE
ADSK
BSFT
CHKP
CTXS
CVLT
DATA
DDD
EPAY
MSFT
MSTR
N
NATI
NOW
NUAN
QLIK
VMW
BIDU
ENOC
FB
GOOGL
IHS
RAX
RHT
TRIP
HY
TEX
EMR
HAR
IRBT
WHR
BBY
NFLX
MOV
SIG
TIF
AVY
CCK
GPK
OI
DDS
M
AL
KFY
DST
QSII
PRFT
SNCR
SOHU
SYNA
WDAY
ZNGA
NRG
PPL
APH
FLEX
GME
AXP
CIT
DFS
MCO
NNI
NSM
MAS
TREX
FUL
MHK
SCSS
TILE
TOL
BKD
WYNN
LVS
HOT
MAR
PENN
AIMC
BC
BMI
CMI
CUB
DE
ESL
ETN
FARO
ITW
KMT
MIDD
ROK
RXN
SWK
TMO
BEAV
GS
MS
IBKR
ICE
SCHW
SEIC
AMP
APAM
BEN
FII
LAZ
LM
MORN
LNC
MET
PRU
BAC
BBT
BK 
BPFH
C 
CMA
COF
CVBF
EWBC
FFBC
FHN
FITB
FNB
FRME
RATE
STI
WFC
ZION
APD
CBT
CCC
CE
DD
DOW
EMN
MTX
POL
PX
ROG
SEE
VHI
WLK
ALXN
DVAX
EBS
IMGN
JAZZ
TEVA
UTHR
