XLK
AAPL
MSFT
FB
T
GOOGL
GOOG
VZ
V
INTC
CSCO
IBM
ORCL
MA
QCOM
ACN
TXN
AVGO
EMC
ADBE
CRM
PYPL
ADP
CTSH
YHOO
HPE
INTU
EBAY
FISV
EA
AMAT
TEL
GLW
FIS
HPQ
ATVI
NVDA
APH
ADI
PAYX
CTL
SNDK
LVLT
ADSK
RHT
CTXS
SWKS
ADS
LRCX
MSI
GPN
XLNX
KLAC
LLTC
MU
MCHP
SYMC
WU
HRS
TSS
AKAM
CA
XRX
WDC
VRSN
JNPR
FFIV
NTAP
FTR
85749P9A
QRVO
STX
FLIR
FSLR
TDC
