AKCKA
ALRM
AM
AMBA
APPN
ATH
ATHM
BABA
BHVN
CLXT
CYBR
ETSU
FEYE
FIT
FND
GDI
GPRO
HCC
JAG
JD
LOCO
MBLY
MGP
NCLH
PETQ
QRVO
RACE
SGH
SHAK
SQ
TEAM
TTD
URGN
VC
VEEV
VLP
