XHE
STJ
BSX
EW
MASI
NVRO
BAX
NXTM
IART
NUVA
BCR
ZBH
BDX
ZLTQ
IDXX
WST
ABMD
TFX
ISRG
HYH
SPNC
ICUI
SYK
ALGN
WMGI
MDT
STE
VAR
COO
ABAX
HRC
XRAY
DXCM
ELGX
HOLX
RMD
LDRH
ABT
GMED
PODD
CMN
NEOG
INGN
GB
HTWR
BABY
LIVN
CYNO
ALR
HAE
CNMD
CERS
ALOG
ANIK
RMTI
VIVO
QDEL
MMSI
ARAY
OFIX
VASC
OSUR
ATRC
IVC
ATRI
85749P9A
CASH_USD
