$DJI
$COMPX
$NDX
$TYX
IBB
KRE
BJK
XLY
DIA
QQQ
SPY
XLB
XLF
XLI
XLK
IYT
XHB
XBI
XTN
XRT
XBI
EWJ

V
TOL
AXP
BBBY
CNO
PFG
UNM
ANGI
CNET
GRPN
OMC
AIR
AVAV
BA
TGI
TXT
UTX
SMG
AAL
ALGT
ALK
ATSG
FDX
DAL
HA
JBLU
LUV
RYAAY
SAVE
UAL
VLRS
GES
OXM
RL
VRA
F
FSS
GM
NAV
PCAR
TSLA
WBC
ALV
AXL
BWA
DLPH
GNTX
IR
LEA
MTOR
THRM
GPI
GT
KMX
PAG
UBNK
KO
AMGN
ARIA
BIIB
BTX
CHRS
CRIS
GILD
PDLI
QGEN
SGMO
CRL
PRXL
Q
VAR
ZLTQ
MYGN
VIVO
COHR
HBIO
MTD
PKI
CBS
HW
MEG
USCR
USG
AYI
ACN
ADS
BID
EBAY
FLT
GPN
MA
MLNK
MOD
MMS
MSCI
NLSN
PCLN
RECN
STMP
TSS
V
WBMD
WSTC
WU
XRX
NSIT
DHX
NTRI
SYX
ANF
CHS
CTRN
DSW
FL 
GCO
JWN
LB
TJX
URBN
ZUMZ
EXTR
SSNI
AAPL
CRAY
SGI
TDC
FTNT
MITK
PANW
ACIW
ADBE
ADSK
BSFT
CHKP
CTXS
CVLT
DATA
DDD
EPAY
MSFT
MSTR
N
NATI
NOW
NUAN
QLIK
VMW
BIDU
ENOC
FB
GOOGL
IHS
RAX
RHT
TRIP
HY
TEX
EMR
HAR
IRBT
WHR
BBY
NFLX
MOV
SIG
TIF
AVY
CCK
GPK
OI
DDS
M
AL
KFY
DST
QSII
PRFT
SNCR
SOHU
SYNA
WDAY
ZNGA
NRG
PPL
APH
FLEX
GME
AXP
CIT
DFS
MCO
NNI
NSM
MAS
TREX
FUL
MHK
SCSS
TILE
TOL
BKD
WYNN
LVS
HOT
MAR
PENN
AIMC
BC
BMI
CMI
CUB
DE
ESL
ETN
FARO
ITW
KMT
MIDD
ROK
RXN
SWK
TMO
BEAV
GS
MS
IBKR
ICE
SCHW
SEIC
AMP
APAM
BEN
FII
LAZ
LM
MORN
LNC
MET
PRU
BAC
BBT
BK 
BPFH
C 
CMA
COF
CVBF
EWBC
FFBC
FHN
FITB
FNB
FRME
RATE
STI
WFC
ZION
APD
CBT
CCC
CE
DD
DOW
EMN
MTX
POL
PX
ROG
SEE
VHI
WLK
ALXN
DVAX
EBS
IMGN
JAZZ
TEVA
UTHR
VRTX
CCL
GD
KEX
NCLH
RCL
SFL
HRL
LUK
UAM
PMC
AME
FTI
GNRC
GTLS
NNBR
PH
RBC
ROLL
TESO
TKR
ACM
EGL
FLR
HIL
KBR
MG
CMP
HI 
LKQ
ACTG
IDCC
NYT
MLHR
GWW
NCR
PBI
SM
WLL
LG
HLX
OII
WG
RGR
ASCMA
GPX
LOPE
SFLY
HLF
CAB
DKS
HVT
RH
EL
BG
FLO
MED
RPM
FBR
GLT
IP
UFS
AWI
TUP
CEB
G 
MAN
RHI
AGO
AHL
AIG
AWH
CNA
HIG
XL
TRI
ARRS
HT
PCH
WY 
HAS
MAT
R
DNKN
DRI
MCD
PNRA
RICK
BLDR
HD
SCSC
BKU
ETFC
TFSL
EVER
ADI
FSLR
IDTI
MRVL
MTSI
MXIM
MXL
SPWR
SWKS
VIAV
TSRA
NKE
AJG
ATI
CMC
ADTN
AXE
BGC
ENT
JCOM
LVLT
VOD
WCC
AMCX
DIS
SNI
TWX
VIAB
TTC
AAWW
EXPE
CGI
JBHT
SWFT
USAK
YRCW
MYRG
WAIR
CSX
SYF
FOX
NAVI
