DGI
LDL
HBHC
IBTX
AGX
MTZ
PWR
MYRG
DW
PATK
THO
BAK
KRA
TSE
IPHS
SAIC
COTV
MENT
EBIX
WIX
CSC
CPLA
SANM
IDCC
COHR
ITRI
CRUS
AEIS
AMAT
ISIL
PI
AIRG
ARLP
WRLD
PJC
NXRT
LTXB
BATS
MGPI
KNSL
WB
GIMO
ISLE
TEX
JBT
NDSN
NOVN
SUPN
TBPH
TSRO
XNCR
WCG
HWAY
IRTC
IIIN
SCHN
NEM
RGLD
PTEN
LUKOY
FET
GTLS
TRGP
GMLP
RMP
SE
RSPP
SM
UNT
BURL
DLTH
PLCE
TLRD
SPTN
STLD
STRP
FNSR
LITE
UBNT
SKYW
SAIA
SWFT
SJW
KOP
SLCA
TWLO
CGNX
NVDA
CORR
SODA
JOY
AVXS
OKE
CLR
CWEI
PE
CENT
CENTA
ACIA
CPA
