NKE
MSFT
GE
CMCSA
SLB
DD
DOW
CAT
TRV
CAH
TRV
AFL
SNDK
MAR
NUE
LRCX
WFM
HST
L
WYN
HP
DO
SPNC
AEO
SGMS
UIL
FLEX
WFM
KND
PLUG
PODD
MWA
SLCA
LKQ
CNK
HLF
WWAV
PRKR
AMTG
HTS
RWT
ISIL
ATI
CMC
MTZ
