CMI,NYSE
HLF,NYSE
TRN,NYSE
AET
APC
SLCA
BWLD
ICON
SAVE
GPRE
NOV
AXP
EW
MAR
AMGN
MRK
YNDX
RAI
UPS
PNRA
TWTR
ESRX
PAG
WLL
ANIK
GT
GRMN
WDC
MOH
TSO
VLO
PSK
YELP
RGR
KRFT
S 
SODA
FLT
H
COP
MA
DISCA
SPWR
TSLA
EXPE
XOM
LNKD
DDD
CVX
CLX
