VRTX
CCL
GD
KEX
NCLH
RCL
SFL
HRL
LUK
UAM
PMC
AME
FTI
GNRC
GTLS
NNBR
PH
RBC
ROLL
TESO
TKR
ACM
EGL
FLR
HIL
KBR
MG
CMP
HI 
LKQ
ACTG
IDCC
NYT
MLHR
GWW
NCR
PBI
SM
WLL
LG
HLX
OII
WG
RGR
ASCMA
GPX
LOPE
SFLY
HLF
CAB
DKS
HVT
RH
EL
BG
FLO
MED
RPM
FBR
GLT
IP
UFS
AWI
TUP
CEB
G 
MAN
RHI
AGO
AHL
AIG
AWH
CNA
HIG
XL
TRI
ARRS
HT
PCH
WY 
HAS
MAT
R
DNKN
DRI
MCD
PNRA
RICK
BLDR
HD
SCSC
BKU
ETFC
TFSL
EVER
ADI
FSLR
IDTI
MRVL
MTSI
MXIM
MXL
SPWR
SWKS
VIAV
TSRA
NKE
AJG
ATI
CMC
ADTN
AXE
BGC
ENT
JCOM
LVLT
VOD
WCC
AMCX
DIS
SNI
TWX
VIAB
TTC
AAWW
EXPE
CGI
JBHT
SWFT
USAK
YRCW
MYRG
WAIR
CSX
SYF
FOX
NAVI
