AAPL
MSFT
GOOGL
DIS
GILD
BMY
MA
USB
LOW
ABT
GM
BK
MON
ABT
GM
BK
MON
AMT
ECL
BBR
STZ
CCL
HCN
BXLT
DLPH
ZTS
ZBH
STJ
IP
SY
SYMC
EXPE
SWKS
ADSK
HBI
ENDP
DVA
PFG
NWL
STX
SRCL
TIF
ETFC
UNM
CPGX
CMA
OKE
USO
XLF
TSLA
DAN
SPNC
CLD
IMMR
PANW
SPLK
BIDU
RAX
INFY
UIL
CVA
SLM
SVU
TILE
TOL
TPH
WLH
KND
SEM
BYD
BC
GPRO
HFC
AMTD
BGCP
WETF
CFR
OLN
ACHN
BMRN
IRWD
KERX
MDVN
XNPT
HOS
TDW
HOLX
PODD
FET
OIS
KBR
SLCA
ATW
NE
QEP
RDC
SN
SYRG
TTI
SPN
SCI
HLF
SCCO
ORI
RDN
PRKR
KW
RLGY
AMTG
IVR
RWT
STAG
CY
IPHI
LYV
IRDM
MTZ
ACAS
AINV
FRC
