AMZN
CMCSA
HD
DIS
MCD
SBUX
PCLN
NKE
TWX
CHTR
LOW
NFLX
TJX
F
GM
TGT
FOXA
MAR
ROST
ORLY
CBS
CCL
YUM
NWL
AZO
DLPH
OMC
DG
DLTR
VFC
RCL
ULTA
VIAB
EXPE
GPC
FOX
LB
MHK
WHR
KMX
BBY
AAP
CMG
HAS
COH
DHI
HOG
M
TSCO
IPG
FL
LKQ
DRI
LEN
GT
MAT
TIF
WYN
BWA
HAR
WYNN
HBI
KSS
SNI
PVH
LEG
KORS
PHM
BBBY
DISCK
SPLS
TRIP
GRMN
GPS
JWN
NWSA
TGNA
SIG
DISCA
HRB
RL
UAA
UA
AN
URBN
NWS
