GDXJ
GLD
IMG
AGI
TAHO
SLW
SBGL
SA
RIC
RGLD
PAAS
NG
NEM
KGC
HMY
GV
GOLD
GG
FSM
FNV
FCX
DRD
CDE
BTG
AUY
AU
AG
AEM
ABX
